author,title,controlno,call_no
"Thomas, Pauline Ann",Task analysis of library operations,000001372631,025 T366t
"Wood, Donald E",Documentation for data processing systems,000001497815,025 W85d
명재휘 明在暉,圖書館의 管理上 組織,000000293483,025 명재휘 도
 ,ミハイロフ 科學技術情報槪論,000001517066,025 미하일 닙
사공철 司空哲,도큐멘테이션 槪說,000000317438,025 사공철 도
소전섭 小畑涉,圖書館の統計,000000317257,025 소전섭 도
소평훈 小平薰,資料整理のやり方 : 情報收集から資料の管理まで,000000413415,025 소평훈 자
이철규 李喆珪,圖書館의 組織과 管理,000000316066,025 이철규 도
임정일 林靖一,圖書の 受入から 配列まで : 學校 圖書館 諸官公署 會社,000000413501,025 임정일 도
좌야우언 佐野友彦,圖書の 配架と 運用,000000413488,025 좌야우 도
초야정명 草野正名,圖書館の 經營管理,000000413485,025 초야정 도
최성진 崔成眞,정보사회론,000000293559,025 최성진 정
평산건삼 平山健三,知識の 整理 : 科學者の ために,000000317680,025 평산건 지
하야덕길 河野德吉,(專門圖書館の ための)資料の 整理と 運用,000000315970,025 하야덕 시
정필모 鄭駜謨,學術情報媒體의 標準化에 관한 指針 : 資料集,000000317453,025 학술정
Korea . Scientific and Technological information Center,"Proceedings of the Second Congress and Third general assembly of the International Federation of Documentation, Commission of",000001488331,025 한국과 p
한국과학기술정보센터,"國際文獻情報聯盟亞細亞, 大洋洲地域委員會 第2次大會 및 第3次定期總會 會議報告書",000000540498,025 한국과 국
한국과학기술정보센터,技術情報管理의 理論과 實際,000000309553,025 한국과 기2
"Arms, William Y",Digital libraries,000001578190,025.00285 000a
"ECDL 2000 (2000 : Lisbon, Portugal)","Research and advanced technology for digital libraries : 4th European Conference, ECDL 2000, Lisbon, Portugal, September 18-20, 2000 : proceedings",000001579543,025.00285 000b
"Osborne, Larry N",Systems analysis for librarians and information professionals,000001561443,025.00285 000c
"Bhargava, Bharat K.",Digital libraries and multimedia,000001574807,025.00285 000d
"International Conference of Asian Digital LIbrary Conference on Digital Libraries, Korea (3rd : (3rd : 2000 : 2000 : Seoul, Korea) Seoul, Korea)","Challenging to knowledge exploring for new millennium ,ICADL 2000 : the proceedings of the 3rd International Conference of Asian Digital Library & the 3rd Conference on Digital Libraries, Korea, December 6-8, 2000, Seoul, Education & Culture Center, Seoul, Korea",000001576512,025.00285 000e
"International Conference of Asian Digital LIbrary Conference on Digital Libraries, Korea (3rd : (3rd : 2000 : 2000 : Seoul, Korea) Seoul, Korea)","Challenging to knowledge exploring for new millennium ICADL 2000 : the tutorials of the 3rd International Conference of Asian Digital Library & the 3rd Conference on Digital Libraries, Korea, December 6-8, 2000, Seoul, Education & Culture Center, Seoul, Korea",000001567949,025.00285 000f
"Internet Librarian Conference (4th : 2000 Nov. 6-8 : Monterey, Calif.)","Internet librarian 2000 : proceedings-2000, Monterey, California, November 6-8, 2000",000001567707,025.00285 000g
"Lesk, Michael",디지털도서관,000000696612,025.00285 000가
황금숙,디지털 도서관론,000000674205,025.00285 000갸
"Lancaster, F. Wilfrid (Frederick Wilfrid)",Intelligent technologies in library and information service applications,000001568154,025.00285 001a
"Nixon, Carol","Internet librarian international 2001 : collected presentations, London UK, 26-28 March 2001",000001571435,025.00285 001b
"ECDL 2001 (2001 Darmstadt, Germany)","Research and advanced technology for digital librairies : 5th European conference, ECDL 2001, Darmstadt, Germany, September 4-9, 2001 : proceedings",000001571863,025.00285 001c
"Cohn, John M",Planning for integrated systems and technologies : a how-to-do-it manual for librarians,000001299359,025.00285 001d
"ECDL 2002 (2002 : Rome, Italy)","Research and advanced technology for digital libraries : 6th European conference, ECDL 2002, Rome, Italy, September 16-18, 2002 : proceedings",000001264022,025.00285 002a
International Conference on Asian Digital Libraries (5th : 2002 : Singapore),"Digital libraries : people, knowledge, and technology : 5th International Conference on Asian Digital Libraries, ICADL 2002, Singapore, December 11-14, 2002 : proceedings",000001271135,025.00285 002b
"Lee, Stuart D",Digital imaging : a practical handbook,000001287169,025.00285 002c
"Kochtanek, Thomas R",Library information systems : from library automation to distributed information access solutions,000001333969,025.00285 002d
"Arms, William Y",디지털도서관의 이해,000000036454,025.00285 002가
정진식,디지털도서관 정보서비스,000001065728,025.00285 002가
"Arms, William Y.",디지털도서관의 이해,000001120323,025.00285 002갸
정진식 鄭鎭植,디지털도서관 정보서비스,000000045248,025.00285 002갸
국립 중앙 도서관,국립디지털도서관건립관련 국제 심포지엄,000000031492,025.00285 002거
"Witten, I. H (Ian H.)",How to build a digital library,000001254446,025.00285 003b
"Pace, Andrew K",The ultimate digital library : where the new information players meet,000001280600,025.00285 003c
"Hanson, Ardis",Building a virtual library,000001291124,025.00285 003d
"Stielow, Frederick J","Building digital archives, descriptions, and displays : a how-to-do-it manual for archivists and librarians",000001283895,025.00285 003e
서울대학교. 중앙도서관,서울대학교 전자도서관 구축사례 발표 자료집,000000046021,025.00285 003가
"Hughes, Lorna M",Digitizing collections : strategic issues for the information manager,000001296435,025.00285 004a
"Limb, Peter",Digital dilemmas and solutions,000001301266,025.00285 004b
"Barnes, Susan J.",Becoming a digital library,000001287921,025.00285 004c
"Miller, Jeannie P",Emerging issues in the electronic environment : challenges for librarians and researchers in the sciences,000001295858,025.00285 004d
"Tennant, Roy",Managing the digital library,000001301519,025.00285 004e
"Lesk, Michael",Understanding digital libraries,000001297177,025.00285 004f
"Rhyno, Art",Using open source systems for digital libraries,000001317139,025.00285 004g
"Fong, Yem S","The changing landscape for electronic resources : content, access, delivery, and legal issues",000001327311,025.00285 004h
"Matthews, Joseph R",Technology planning : preparing and updating a library technology plan,000001333977,025.00285 004i
"Johnson, Kay",Exploring the digital library : a guide for online teaching and learning,000001282408,025.00285 005a
"Tedd, Lucy A",Digital libraries : principles and practice in a global environment,000001297034,025.00285 005b
"Blanchard, Ralph R",The Digital challenge for libraries : Understanding the Culture and Technology of Total Information,000001286288,025.00285 005c
"Fenner, Audrey",Managing digital resources in libraries,000001335535,025.00285 005d
진교훈 秦敎勳,서울대학교 학술정보화 장기발전계획,000000169026,025.00285 005가
"Burke, John (John J.)",The Neal-Schuman library technology companion : a basic guide for library staff,000001310103,025.00285 006a
"Kapitzke, Cushla",Libr@ries : changing information space and practice,000001329524,025.00285 006b
"Tredinnick, Luke",Digital information contexts : theoretical approaches to understanding digital information,000001335404,025.00285 006c
"Jordan, Mark",Putting content online : a practical guide for libraries,000001310350,025.00285 006d
"Haley, Connie K",Radio frequency identification handbook for librarians,000001315214,025.00285 007a
"Cook, Michael N",Managing public computing,000001353251,025.00285 007b
국립중앙도서관. 국립디지털도서관준비기획단,정보소외계층 서비스,000000241261,025.00285 007가
국립중앙도서관. 국립디지털도서관준비기획단,디브러리 포털사이트 모형 개발,000001122422,025.00285 007가
국립중앙도서관. 국립디지털도서관준비기획단,디브러리 포털사이트 모형 개발,000000214598,025.00285 007가
국립중앙도서관. 국립디지털도서관준비기획단,디브러리 이용자 공간 구축,000000241259,025.00285 007가
국립중앙도서관. 국립디지털도서관준비기획단,디지털장서 관리 및 연구 개발,000000241253,025.00285 007가
국립중앙도서관. 국립디지털도서관준비기획단,이용자 시나리오 연구 개발,000001122452,025.00285 007갸
국립중앙도서관. 국립디지털도서관준비기획단,디지털장서 관리 및 연구 개발,000001122453,025.00285 007거
국립중앙도서관. 국립디지털도서관준비 기획단,디브러리 이용자 공간 구축,000001122454,025.00285 007겨
국립중앙도서관. 국립디지털도서관준비기획단,정보소외계층 서비스,000001122456,025.00285 007고
"Papy, Fabrice",Digital libraries,000002029039,025.00285 008a
이수상,디지털도서관 운영론,000001126341,025.00285 008가
국립 중앙 도서관,디브러리 포털 협력망 및 서비스,000000755783,025.00285 008가
이수상,디지털도서관 운영론,000000765236,025.00285 008갸
"Kruk, Sebastian Ryszard",Semantic digital libraries,000001339056,025.00285 009a
"Evans, Woody",Building library 3.0 : issues in creating a culture of participation,000001593008,025.00285 009b
"Witten, I. H. (Ian H.)",How to build a digital library,000001720831,025.00285 010a
"Ashraf, Tariq",Developing sustainable digital libraries : socio-technical perspectives,000001600657,025.00285 010a
"Harvey, D. R. (Douglas Ross)",Digital curation : a how-to-do-it manual,000001609553,025.00285 010b
"Clobridge, Abby",Building a digital repository program with limited resources,000001624886,025.00285 010c
"Collier, Mel",Business planning for digital libraries : international approaches,000001626832,025.00285 010d
"Witten, I. H. (Ian H.)",How to build a digital library,000001642458,025.00285 010e
정진식,(디지털도서관) 정보서비스 core models,000002058429,025.00285 011가
"Dobreva, Milena",User studies for digital library development,000001639447,025.00285 012a
"Chow, Anthony S","Library technology and user services : planning, integration, and usability engineering",000001642626,025.00285 012b
"Deegan, Marilyn",Collaborative research in the digital humanities,000001800063,025.00285 012c 
유양근,컴퓨터와 디지털 도서관의 이해,000001196555,025.00285 012가
국립중앙도서관. 디지털도서관,(더 나은 세상을 꿈꾸는) 디지털 도서관 : 디지털 혁명이 바꿔 놓은 도서관의 미래,000000876118,025.00285 013가
"Yang, Sharon Q",Emerging technologies for librarians : a practical approach to innovation,000001764073,025.00285 016a 
"Harvey, D. R. (Douglas Ross)",Digital curation,000001781632,025.00285 016b
"Thomsett-Scott, Beth C",The librarian's introduction to programming languages : a LITA guide,000001806050,025.00285 016c
"Rice, Robin (Robin Charlotte)",The data librarian's handbook,000001849369,025.00285 016d
"Burke, John (John J.)",Neal-Schuman library technology companion : a basic guide for library staff,000001873877,025.00285 016e
International Conference on Digital Libraries (5th : 2016,"ICDL 2016 : smart future, knowledge trends that will change the world, 13-16 December 2016, IHC, New Delhi, India : conference papers . v. 2",000001967952,025.00285 016f
International Conference on Digital Libraries (5th : 2016,"ICDL 2016 : smart future, knowledge trends that will change the world, 13-16 December 2016, IHC, New Delhi, India : conference papers . v. 1",000001967951,025.00285 016f
노영희 盧榮姬,차세대 디지털 도서관의 이해,000001813101,025.00285 016가
노영희 盧榮姬,차세대 디지털 도서관의 이해,000001830441,025.00285 016가
최재황,정부 3.0에 맞춘 선진 첨단 정보시스템 운영과 오픈 데이터,000001823895,025.00285 016갸
"Burke, John (John J.)",Neal-Schuman library technology companion : a basic guide for library staff,000001991089,025.00285 020a
"Matthews, Joseph R",Library information systems,000002003121,025.00285 020b
노영희,4차 산업혁명과 디지털도서관,000002123677,025.00285 022가
"Leeves, Juliet",Library systems : a buyer's guide,000001361943,025.00285 89a
"Saffady, William",Introduction to automation for librarians,000001371040,025.00285 89b
"Dyer, Hilary",Human aspects of library automation,000001360893,025.00285 90a
"Lane, Elizabeth S",Microcomputer management & maintenance for libraries,000001375142,025.00285 90b
"Hayman, Lynne",101 uses of dBase in libraries,000001371088,025.00285 90c
"Schuyler, Michael",PC management : a how-to-do-it manual for librarians,000001378555,025.00285 90d
"Boss, Richard W",The library manager's guide to automation,000001390562,025.00285 90e
"Johnson, Peggy",Automation and organizational change in libraries,000001383053,025.00285 91a
"Pitkin, Gary M.",Library systems migration : changing automated systems in libraries and information centers,000001387648,025.00285 91b
"Machalow, Robert",101 uses of Lotus in libraries,000001385899,025.00285 92b
"Chiang, Win-Shin S","Electronic access to information : a new service paradigm : proceedings from a symposium held July 23 through 24, 1993, Palo Alto, California",000001453265,025.00285 94a
"Birdsall, William F",The myth of the electronic library : librarianship and social change in America,000001303874,025.00285 94b
"Cox, Richard J",The first generation of electronic records archivists in the United States : a study in professionalization,000001329782,025.00285 94c
"Grosch, Audrey N.",Library information technology and networks,000001461836,025.00285 95a
"Crawford, Walt","Future libraries : dreams, madness & reality",000001486844,025.00285 95b
"Brown, David J",Electronic publishing and libraries : planning for the impact and growth to 2003,000001510809,025.00285 96a
"Cooper, Michael D. (Michael David)","Design of library automation systems : file structures, data structures, and tools",000001546438,025.00285 96b
"Lancaster, F. Wilfrid (Frederick Wilfrid)",Technology and management in library and information services,000001528668,025.00285 97a
"Gallimore, Alec",Developing an IT strategy for your library,000001533115,025.00285 97b
"Muirhead, Graeme",Planning and implementing successful system migrations,000001530544,025.00285 97c
"Lesk, Michael","Practical digital libraries : books, bytes, and bucks",000001572363,025.00285 97d
"Rowley, Jennifer",The electronic library,000001549603,025.00285 98a
"Wilkinson, Ross",Document computing : technologies for managing electronic document collections,000001566531,025.00285 98b
"Cohn, John M",Planning for library automation a practical handbook,000001557502,025.00285 98c
"Morris, Anne",Human aspects of library automation,000001578928,025.00285 98d
"ECDL '98 (1998 Ērakleion, Greece)","Research and advanced technology for digital libraries : second European conference, ECDL '98, Heraklion, Crete, Cyprus, September 21-23, 1998 : proceedings",000001579542,025.00285 98e
"Stielow, Frederick",Creating a virtual library : a how-to-do-it manual for librarians,000001565119,025.00285 99a
"Saffady, William",Introduction to automation for librarians,000001557624,025.00285 99b
"Saunders, Laverna M",The evolving virtual library II : practical and philosophical perspectives,000001573369,025.00285 99c
"ECDL '99 (1999 : Paris, France)","Research and advanced technology for digital libraries : third European conference, ECDL '99, Paris, France, September 22-24, 1999 : proceedings",000001573488,025.00285 99d
"Stern, David","Digital libraries : philosophies, technical design considerations, and example scenarios",000001563072,025.00285 99e
"Criddle, Sally","Information landscapes for a learning society : networking and the future of libraries 3 : an international conference held at the University of Bath, 29 June-1 July 1998",000001274088,025.00285 99f
"Cook, Michael",The management of information from archives,000001294176,025.00285 99g
"Riggs, Donald E",Expert systems in libraries,000001377955,025.00285416 90a
"Nissley, Meta",CD-ROM licensing and copyright issues for libraries,000001380872,025.00285416 90b
"Akeroyd, John",CD-ROM networking,000001375858,025.00285456 90a
"Beiser, Karl",Essential guide to dBase IV in libraries,000001407454,025.00285536 91a
"Beiser, Karl",DOS 5.0 for libraries,000001398201,025.00285536 92a
"Bloch, R. Howard",Future libraries,000001549961,025.00285536 95a
"Evans, Margaret Kinnell",Improving library and information services through self-assessment : a guide for senior managers and staff developers,000001292471,025.00683 99a
"Evans, Margaret Kinnell",The library and information services self-assessment training pack,000001296055,025.00683 99b
"Crawford, John C",The culture of evaluation in library and information services,000001331487,025.0072 006a
"Wallace, Danny P",Knowledge into action : research and evaluation in library and information science,000001652592,025.0072 012a
"Farmer, Lesley S. J",Library improvement through data analytics,000001796935,025.00723 016a
"Hafner, Arthur Wayne",Descriptive statistical techniques for librarians,000001572111,025.00723 98a
"Stockwell, Foster",A history of information storage and retrieval,000001567714,025.009 001a
"Black, Alistair",The early information society : information management in Britain before the computer,000001322106,025.00941 007a
국분신 國分信,日本 圖書館界の現況と展望 : 進展する 國際化 情報化 機械化,000000425960,025.00953 83
일본 도서관협회,"ドキュメンテ-ション硏究集會 議事錄, 第1回, 索引 ",000000506284,025.00953 일본도 도
권기원 權起遠,圖書館 經營에 있어서의 시스팀 分析技法 應用에 관한 硏究,000000309502,025.018 권기원 도
University of Chicago . Graduate Library School,"Operations research : implications for libraries : the thirty-fifth annual conference of the Graduate Library School, August 2-4, 1971",000001373182,025.0184 Sw24o
"Eden, Bradford Lee",Innovative redesign and reorganization of library technical services : paths for the future and case studies,000001290436,025.02 004a
 ,"Grey foundations in information landscape ninth International Conference on Grey Literature : House of the province, Antwerp, Belgium, 10-11 December 2007",000001355635,025.02 008a
"Intner, Sheila S",Fundamentals of technical services management,000001341873,025.02 008b
"Evans, G. Edward",Introduction to technical services,000001624650,025.02 011a
"Weber, Mary Beth",Rethinking library technical services : redefining our profession for the future,000001760615,025.02 015a 
"Eden, Bradford Lee","Rethinking technical services : new frameworks, new skill sets, new tools, new roles",000001765487,025.02 016a 
"Marien, Stacey",Library technical services : adapting to a changing environment,000002034863,025.02 020a
"Bloomberg, Marty",Introduction to technical services for library technicians,000001375757,025.02 85a
"Cargill, Jennifer S",Library management and technical services : the changing role of technical services in library organizations,000001375902,025.02 88a
"Fox, Beth Wheeler",Behind the scenes at the dynamic library : simplifying essential operations,000001379681,025.02 90a
"Gorman, Michael",Technical services today and tomorrow,000001377853,025.02 90b
"Godden, Irene P.",Library technical services : operations and management,000001368193,025.02 91a
"Racine, Drew",Managing technical services in the 90's,000001390646,025.02 91b
"Evans, G. Edward",Introduction to technical services,000001458367,025.02 94a
정영미 鄭瑛美,지식구조론,000000618404,025.02 97가
"Applebaum, Edmond L",Reader in technical services,000001378236,025.02 Ap52r
"Cochrane, Pauline A.",Libraries and automation : a symposium,000001379328,025.02 At45L
"Bernhardt, Frances Simonsen",Introduction to library technical services,000001370108,025.02 B457i
"Cohen, Elaine","Automation, space management, and productivity : a guide for libraries",000001370754,025.02 C66a
"Cundiff, Ruby Ethel",Manual of techniques in library organization,000001373417,025.02 C91m
Drexel Conference on Data Processing in University Libraries (1965 : Philadelphia),Data processing in public and university libraries,000001370082,025.02 H26d
"Henley, J. P",(計算機による)圖書館管理と 情報管理,000000293983,025.02 H389b 대
International Organization for Standardization,International standard : ISO/TC 46 : 1975-1986,000001487133,025.02 In8i
"Matthews, Joseph R",Choosing an automated library system : a planning guide,000001371294,025.02 M432c
"Murphy, Marcy","On-line services in some academic, public and special libraries a state-of-the-art report",000001515151,025.02 M955o
"Swihart, Stanley J",Computer systems in the library : a handbook for managers and designers,000001371001,025.02 Sw57c
목택성 木澤誠,情報處理 システム,000000317784,025.02 전기학 죠
한국도서관협회. 전산화분과위원회,圖書館 電算化入門,000000298488,025.02 한국도 도
"Library and Information Technology Association (U.S.). National Conference (2nd : 1988 : Boston, Mass.)","Library and information technology standards : papers presented at the Second National Conference of the Library and Information Technology Association, October 2-6, 1988, Boston, Massachusetts",000001369829,025.02021873 90a
"Lynch, Michael F",Computer-based information services in science and technology : principles and techniques,000001369831,025.02028 L989c
전문도서관협의회. 관동지구협의회,圖書館システム パッケ-ジ總覽 : 1986年度調査,000000309516,025.020285 87
"Trezza, Alphonse F",Changing Technology : opportunity and challenge,000001363750,025.020285 89a
"Brophy, Peter",DOBIS/LIBIS : a guide for librarians and systems managers,000001366517,025.020285 90a
"Dyer, Hilary",A directory of library and information retrieval software for microcomputers,000001363979,025.020285 90b
입명관대학(일본). 도서관,Runners : 立命館大學學術情報システム槪要書,000000281942,025.020285 90가
전국 사립대학교 도서관협의회. 도서관 전산화위원회,"圖書館 電算化 資料集, [第1集]",000000267680,025.020285 90갸
"Dewey, Patrick R.","202+ software packages to use in your library : descriptions, evaluations, and practical advice",000001385286,025.020285 92b
박준식 朴俊植,뉴미디어와 도서관,000000358975,025.020285 92가
한국도서관협회,"도서관 전산화 세미나, 제1회",000000451463,025.020285 92갸
한국도서관협회,"도서관 전산화 세미나, 제2회",000000451468,025.020285 92갸
한국도서관협회,"도서관 전산화 세미나 자료집, 제4회, 대출 및 OPAC 시스템",000000491383,025.020285 92갸
북경대학. 도서관. 자동화부,北京大學 圖書館 自動化 集成系統 : 使用手冊,000000465603,025.020285 92거
한국자원연구소 한국.. 과학기술처,圖書管理 電算化 硏究,000000437500,025.020285 93가
"Batt, Chris",Information technology in public libraries,000001504978,025.020285 94a
국립 중앙 도서관,한 아세안 도서관 전산화와 미래,000000493247,025.020285 95가
유사라 劉思羅,정보화 사회와 도서관 정보네트워크,000000534485,025.020285 96가
서울대학교. 중앙도서관,서울대학교 중앙도서관 전자도서관의 설계에 관한 연구,000000624523,025.020285 96갸
국회도서관,국가전자도서관구축기본계획,000001033172,025.020285 97
유사라 劉思羅,하이퍼미디어 도서관 정보시스템,000000604080,025.020285 97가
전국 대학 정보전산기관협의회 이화여자대학교.. 정보전산원,"전국대학정보전산기관 협의회 학술 세미나 논문집, 1997년도 춘계",000000591362,025.020285 97갸
한국 국립 중앙 도서관 법원도서관 산업기술정보원 한국과학기술연구원 첨단학술정보센터. 국회도서관. 연구,국가전자도서관구축 기본계획,000000568415,025.020285 97거
"Batt, Chris",Information technology in public libraries,000001529609,025.020285 98a
정영미 鄭瑛美,전자도서관 구축론,000000551891,025.020285 98가
한국 정보관리학회 한국 정보통신진흥협회,멀티미디어 정보처리,000000646078,025.020285 98갸
국립 중앙 도서관 한국.. 문화관광부,한 아세안 도서관 정보 네트워크 현황과 협력,000000647605,025.020285 98거
"Carroll, Dewey E",Proceedings of the 1968 Clinic on Library Applications of Data Processing,000001515237,025.020285 C616p
"Hayes, Robert Mayo",Handbook of data processing for libraries,000001371401,025.020285 H328h
"Hayes, Robert Mayo",Handbook of data processing for libraries,000001372616,025.020285 H328h2
Preconference Institute on Library Automation (1973 : Las Vegas),"Library automation : the state of the art II : papers presented at the Preconference Institute on Library Automation, held at Las Vegas, Nevada, June 22-23, 1973",000001374408,025.020285 M365L
 ,Master library : using the power of your solid state software module,000001463754,025.020285 M393
"Nitecki, Joseph Z",OCLC in retrospect : a review of the impact of the OCLC system on the administration of a large university technical services operations,000001375015,025.020285 N638o
"Salmon, Stephen R",Library automation systems,000001371399,025.020285 Sa35L
"Tedd, Lucy A",コンピュ-タ·ベ-スの 圖書館システム入門 : 理論と實際,000000309665,025.020285 컴퓨터 길
국방과학연구소,"자료관리 전산체계 개발보고서, [제1편]",000000443573,025.0202854 83
국방과학연구소,"자료관리 전산체계 개발보고서, 제2편",000000414525,025.0202854 83
"Matthews, Joseph R",A Reader on choosing an automated library system,000001378227,025.0202854 83a
"Saffady, William",Introduction to automation for librarians,000001379368,025.0202854 83b
"Gellatly, Peter","Beyond ""1984"" : the future of library technical services",000001371435,025.0202854 83c
"Williams, H. L.","Computerised systems in library and information services : proceedings of a conference of the Aslib Biological and Agricultural Sciences Group held at the Commonwealth Institute, London, June 9, 1982",000001378196,025.0202854 83d
"Taylor, Heather","Information technology : practice, potential, limitations and effects on the profession",000001551541,025.0202854 83e
"Woods, Lawrence A",The librarian's guide to microcomputer technology and applications,000001378194,025.0202854 83f
"Gillman, Peter",Library automation : a current review,000001370720,025.0202854 84a
"Godden, Irene P.",Library technical services : operations and management,000001374974,025.0202854 84b
"Rice, James",Introduction to library automation,000001375766,025.0202854 84c
"Lovecy, Ian",Automating library procedures : a survivor's handbook,000001379338,025.0202854 84d
"Tedd, Lucy A",An Introduction to computer-based library systems,000001374415,025.0202854 84e
조숙기 趙淑紀,Data bases의 利用이 參考業務에 미치는 影響에 관한 硏究,000000308624,025.0202854 85
"Corbin, John Boyd",Managing the library automation project,000001367964,025.0202854 85a
"Daily, Jay Elwood",Staff personality problems in the library automation process : a case in point,000001373201,025.0202854 85b
"Tedd, Lucky Anne",도서관 전산화 시스팀,000000316888,025.0202854 85가
손지영 孫智泳,"大學圖書館 收書, 目錄業務 電算化에 관한 硏究",000000269273,025.0202854 85거
도서관정보대학(일본). 도서관,LIAISON 開發報告書 : 圖書館 情報大學における 圖書館業務 ト-タルシステム,000000443616,025.0202854 86
"Edelman, Hendrik",Libraries and information science in the electronic age,000001379795,025.0202854 86a
"Herring, James E",Planning for library automation : Aberdeen City Libraries,000001481977,025.0202854 86b
차한필,정보자료 관리업무 전산화에 관한 연구,000000414539,025.0202854 87
"Clayton, Marlene",Managing library automation,000001375795,025.0202854 87a
"Hewitt, Joe A","Advances in library automation and networking : a research annual, v. 1",000001369825,025.0202854 87c
"Hewitt, Joe A","Advances in library automation and networking : a research annual, v. 2 Editor: Joe A. Hewitt",000001379374,025.0202854 87c
"Hewitt, Joe A","Advances in library automation and networking : a research annual, v. 3 (1989)",000001388928,025.0202854 87c
"Hewitt, Joe A","Advances in library automation and networking : a research annual, v. 4 (1991)",000001387683,025.0202854 87c
한국과학기술대학. 도서관,KITLAS 開發報告書 : 한국과학기술대학 도서관업무 자동화 시스팀,000000316920,025.0202854 88
"Kershner, Lois M","Forms for automated library systems : an illustrated guide for selection, design & use",000001373223,025.0202854 88a
김광영 金光永,尖端裝備를 利用한 情報交流의 效率化 方案 : 外交安保硏究院을 中心으로,000000316016,025.0202854 89
"Machalow, Robert",Using Lotus 1-2-3 : a how-to-do-it manual for library applications,000001514772,025.0202854 89a
정영미 鄭瑛美,도서관 정보 전산화론,000000290427,025.0202854 89갸
"Dowlin, Kenneth E",전자 도서관,000000548883,025.0202854 89거
"Auger, Charles P. (Charles Peter)",Information sources in Grey literature,000001402422,025.0202854 94a
"Ashford, John H",Studies in the application of free text package systems : for information storage and retrieval in libraries and related information centres,000001372625,025.0202854 As35s
"Boss, Richard W",The library manager's guide to automation,000001370727,025.0202854 B653L
Clinic on Library Applications of Data Processing (15th : 1978 : University of Illinois at Urbana-Champaign),Problems and failures in library automation,000001371419,025.0202854 C616p
"Kimber, Richard T",Automation in libraries,000001379343,025.0202854 K569a
"Kimber, Richard T",Automation in libraries,000001378219,025.0202854 K56a2
"Freedman, Maurice J",Library automation : five case studies,000001376236,025.0202854 L616
"Gellatly, Peter",The Management of serials automation : current technology & strategies for future planning,000001374976,025.0202854 M311
"Mott, Thomas H",Introduction to PL/I programming for library and information science,000001368110,025.0202854 M858i
"Palmer, Richard Phillips",Case studies in library computer systems,000001369834,025.0202854 P182c
"Rowley, Jennifer E",Computers for libraries,000001368581,025.0202854 R797c
"Wainwright, Jane",Computer provision in British libraries,000001379364,025.0202854 W133a
군마대학. 도서관,群馬大學 圖書館 システム : OKITAC-4500 : 說明書,000000444558,025.0202854 군마대
유길호 劉吉鎬,圖書館業務의 機械化에 關한 硏究,000000316011,025.0202854 유길호 도
장영곤 張永坤,大學圖書館業務의 機械化에 關한 硏究,000000315968,025.0202854 장영곤 대 
정영미 鄭瑛美,도서관 정보 전산화론,000000266675,025.0202854 정영미 도
"Laurence, Helen",Academic research on the Internet : options for scholars and libraries,000001249418,025.04 000L
"Meadow, Charles T",Text information retrieval systems,000001579033,025.04 000a
"Berners-Lee, Tim",Weaving the Web : the original design and ultimate destiny of the World Wide Web by its inventor,000001565649,025.04 000b
"Ensor, Pat",The cybrarian's manual 2,000001575835,025.04 000c
"Krug, Steve",Don't make me think! : a common sense approach to Web usability,000001578126,025.04 000d
"Reiss, Eric L.",Practical information architecture : a hands-on approach to structuring successful websites,000001567504,025.04 000e
"Kim, Amy Jo",Community building on the Web,000001569130,025.04 000f
"Choo, Chun Wei",Web work : information seeking and knowledge work on the World Wide Web,000001569032,025.04 000g
"Conference on Integrated Online Library Systems (15th : 2000 : New York, N.Y.)","IOLS 2000, integrated online library systems : proceedings--2000, New York, May 17-18, 2000",000001567072,025.04 000h
"National Online Meeting (21st : 2000 : New York, N.Y.)","National Online Meeting proceedings--2000 : proceedings of the 21st National Online Meeting, New York, May 16-18, 2000",000001565248,025.04 000i
"Thomas, Alan R",Internet searching and indexing : the subject approach,000001562337,025.04 000j
"Peck, Robert S","Libraries, the First Amendment, and cyberspace : what you need to know",000001259839,025.04 000k
"Forrester, William H",The online searcher's companion,000001297473,025.04 000m
"Korfhage, Robert R.",정보저장 및 검색,000001092988,025.04 000가
홍봉화,인터넷 정보검색사,000000715104,025.04 000가
서보원,인터넷 정보검색사 : [필기+실기],000000669125,025.04 000갸
유환성,인터넷 정보 검색사,000000690824,025.04 000거
권군오,인터넷 정보검색사 한번에 끝내기,000000696698,025.04 000겨
김명주,"(한국정보통신진흥협회 시행) 인터넷 정보검색사 1,2급 필기+실기 특별대비",000000699205,025.04 000고
"Korfhage, Robert R",정보저장 및 검색,000000699273,025.04 000교
김수천,인터넷과 정보검색 시작과 활용,000000703426,025.04 000구
박온자 朴溫子,정보원과 정보이용 : 질적정보 이용안내,000000708649,025.04 000규
구탁모,인터넷 정보검색,000000679474,025.04 000그
이일주,인터넷 정보검색실습,000000687748,025.04 000기
유양근,정보사회와 정보이용,000000696689,025.04 000나
이주호 李柱鎬,(인터넷 보물섬) Yahoo! 야후 100% 활용하기,000000699581,025.04 000냐
박남규,인터넷 활용과 정보검색,000000702074,025.04 000너
한국교육학술정보원,학술논문DB구축사업 완료보고회,000000712892,025.04 000녀
김민중 金玟中,(클릭!) 법률 인터넷,000000654662,025.04 000노
대유민 戴維民,面向21世記的情報語言學 : 全國第三次情報檢索語言發展方向硏討會論文集,000000114695,025.04 000뇨
"Krug, Steve",상식이 통하는 웹사이트가 성공한다,000001050918,025.04 001
